Body,Audit Firm,Body type
Blackpool Council,KPMG LLP,Unitary Authority
Bolsover District Council,KPMG LLP,District Council
Bolton Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Borough of Telford and Wrekin,KPMG LLP,Unitary Authority
Boston Borough Council,KPMG LLP,District Council
Brent London Borough Council,KPMG LLP,London Borough Council
Bury Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Charnwood Borough Council,KPMG LLP,District Council
Chesterfield Borough Council,KPMG LLP,District Council
City of Lincoln Council,KPMG LLP,District Council
City of Wakefield Metropolitan District Council,KPMG LLP,Metropolitan District Council
City of Westminster Council,KPMG LLP,London Borough Council
Corby Borough Council,KPMG LLP,District Council
Daventry District Council,KPMG LLP,District Council
Derbyshire County Council,KPMG LLP,County Council
Derbyshire Dales District Council,KPMG LLP,District Council
Doncaster Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Dorset County Council,KPMG LLP,County Council
East Devon District Council,KPMG LLP,District Council
East Lindsey District Council,KPMG LLP,District Council
East Northamptonshire Council,KPMG LLP,District Council
East Riding Of Yorkshire Council,KPMG LLP,Unitary Authority
East Sussex County Council,KPMG LLP,County Council
Exeter City Council,KPMG LLP,District Council
Fylde Borough Council,KPMG LLP,District Council
Gedling Borough Council,KPMG LLP,District Council
Gloucester City Council,KPMG LLP,District Council
Harborough District Council,KPMG LLP,District Council
Hounslow London Borough Council,KPMG LLP,London Borough Council
Islington London Borough Council,KPMG LLP,London Borough Council
Kettering Borough Council,KPMG LLP,District Council
Kirklees Metropolitan Council,KPMG LLP,Metropolitan District Council
Knowsley Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Lancaster City Council,KPMG LLP,District Council
Leeds City Council,KPMG LLP,Metropolitan District Council
Leicester City Council,KPMG LLP,Unitary Authority
Leicestershire County Council,KPMG LLP,County Council
Lincolnshire County Council,KPMG LLP,County Council
London Borough of Barking and Dagenham,KPMG LLP,London Borough Council
London Borough of Bromley,KPMG LLP,London Borough Council
London Borough of Camden Council,KPMG LLP,London Borough Council
London Borough of Ealing,KPMG LLP,London Borough Council
London Borough of Hackney,KPMG LLP,London Borough Council
London Borough of Hammersmith and Fulham,KPMG LLP,London Borough Council
London Borough of Harrow,KPMG LLP,London Borough Council
London Borough of Lambeth,KPMG LLP,London Borough Council
London Borough of Redbridge,KPMG LLP,London Borough Council
London Borough of Tower Hamlets,KPMG LLP,London Borough Council
London Borough of Waltham Forest,KPMG LLP,London Borough Council
Mansfield District Council,KPMG LLP,District Council
Newark and Sherwood District Council,KPMG LLP,District Council
North East Derbyshire District Council,KPMG LLP,District Council
North East Lincolnshire Council,KPMG LLP,Unitary Authority
North Kesteven District Council,KPMG LLP,District Council
North Lincolnshire Council,KPMG LLP,Unitary Authority
North West Leicestershire District Council,KPMG LLP,District Council
North Yorkshire County Council,KPMG LLP,County Council
Northampton Borough Council,KPMG LLP,District Council
Northamptonshire County Council,KPMG LLP,County Council
Nottingham City Council,KPMG LLP,Unitary Authority
Nottinghamshire County Council,KPMG LLP,County Council
Oadby and Wigston Borough Council,KPMG LLP,District Council
Reigate and Banstead Borough Council,KPMG LLP,District Council
Rotherham Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Royal Borough of Kensington and Chelsea,KPMG LLP,London Borough Council
Royal Borough of Windsor and Maidenhead,KPMG LLP,Unitary Authority
Runnymede Borough Council,KPMG LLP,District Council
Rushcliffe Borough Council,KPMG LLP,District Council
Rutland County Council,KPMG LLP,Unitary Authority
Ryedale District Council,KPMG LLP,District Council
Sandwell Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Sheffield City Council,KPMG LLP,Metropolitan District Council
South Hams District Council,KPMG LLP,District Council
South Holland District Council,KPMG LLP,District Council
South Kesteven District Council,KPMG LLP,District Council
Spelthorne Borough Council,KPMG LLP,District Council
Stoke on Trent City Council,KPMG LLP,Unitary Authority
Stroud District Council,KPMG LLP,District Council
Surrey Heath Borough Council,KPMG LLP,District Council
Tandridge District Council,KPMG LLP,District Council
Wellingborough Borough Council,KPMG LLP,District Council
West Berkshire Council,KPMG LLP,Unitary Authority
West Devon Borough Council,KPMG LLP,District Council
West Dorset District Council,KPMG LLP,District Council
West Lindsey District Council,KPMG LLP,District Council
Weymouth and Portland Borough Council,KPMG LLP,District Council
Wiltshire Council,KPMG LLP,Unitary Authority
Woking Borough Council,KPMG LLP,District Council
Wyre Borough Council,KPMG LLP,District Council
City of Bradford Metropolitan District Council,Mazars LLP,Metropolitan District Council
City of York Council,Mazars LLP,Unitary Authority
Craven District Council,Mazars LLP,District Council
Durham County Council,Mazars LLP,Unitary Authority
Gateshead Metropolitan Borough Council,Mazars LLP,Metropolitan District Council
Harrogate Borough Council,Mazars LLP,District Council
Hartlepool Borough Council,Mazars LLP,Unitary Authority
Kingston upon Hull City Council,Mazars LLP,Unitary Authority
North Tyneside Council,Mazars LLP,Metropolitan District Council
Redcar and Cleveland Borough Council,Mazars LLP,Unitary Authority
Scarborough Borough Council,Mazars LLP,District Council
Selby District Council,Mazars LLP,District Council
Stockton-on-Tees Borough Council,Mazars LLP,Unitary Authority
Sunderland City Council,Mazars LLP,Metropolitan District Council
